business_accomodation_and_food_services,business_admin_support_and_waste_mngmt,business_agriculture_forestry_fishing_hunting,business_arts_entertain_rec,business_construction,business_education_services,business_finance_and_insurance,business_health_care_social_assit,business_unclassified,business_information,business_mngmt_companies,business_manufacturing,business_oil_extraction,business_other_services,business_profess_scientif_tech_services,business_real_estate_rental_leasing,business_retail,business_transportation_warehousing,business_utilities,business_wholesale_trade,business_zip
23.0,13.0,0.0,6.0,15.0,10.0,21.0,54.0,0.0,6.0,3.0,0.0,0.0,15.0,32.0,20.0,38.0,4.0,0.0,12.0,01106
7.0,8.0,0.0,0.0,7.0,0.0,3.0,64.0,0.0,0.0,0.0,4.0,0.0,14.0,0.0,7.0,16.0,0.0,0.0,4.0,01107
24.0,14.0,0.0,0.0,16.0,6.0,6.0,31.0,0.0,0.0,0.0,8.0,0.0,43.0,14.0,21.0,48.0,11.0,0.0,5.0,01108
35.0,16.0,0.0,0.0,20.0,7.0,5.0,46.0,0.0,5.0,3.0,9.0,0.0,45.0,8.0,10.0,69.0,13.0,0.0,5.0,01109
7.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,01115
8.0,8.0,0.0,0.0,16.0,0.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,26.0,8.0,5.0,26.0,0.0,0.0,0.0,01118
28.0,4.0,0.0,0.0,9.0,3.0,5.0,21.0,0.0,7.0,0.0,0.0,0.0,14.0,9.0,7.0,43.0,0.0,0.0,0.0,01119
7.0,3.0,0.0,0.0,4.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,12.0,0.0,0.0,0.0,01128
15.0,4.0,0.0,0.0,7.0,4.0,9.0,11.0,0.0,4.0,0.0,4.0,0.0,19.0,4.0,4.0,63.0,0.0,0.0,3.0,01129
0.0,5.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,01144
9.0,4.0,0.0,0.0,15.0,0.0,5.0,15.0,0.0,0.0,0.0,19.0,0.0,25.0,7.0,3.0,19.0,5.0,0.0,5.0,01151
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01199
138.0,61.0,0.0,28.0,123.0,15.0,59.0,220.0,3.0,23.0,6.0,43.0,0.0,119.0,138.0,47.0,173.0,24.0,3.0,46.0,01201
4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01202
20.0,7.0,0.0,0.0,35.0,4.0,8.0,11.0,0.0,0.0,0.0,9.0,0.0,16.0,4.0,7.0,25.0,3.0,0.0,3.0,01220
0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,01222
7.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,01223
5.0,8.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,3.0,0.0,0.0,01225
11.0,6.0,0.0,0.0,28.0,0.0,6.0,8.0,0.0,0.0,0.0,7.0,0.0,11.0,13.0,6.0,10.0,0.0,0.0,5.0,01226
55.0,13.0,0.0,14.0,44.0,8.0,18.0,44.0,0.0,12.0,3.0,15.0,0.0,34.0,44.0,14.0,87.0,3.0,0.0,8.0,01230
6.0,4.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,01235
0.0,7.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,4.0,0.0,4.0,0.0,0.0,0.0,01236
24.0,7.0,0.0,4.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,4.0,4.0,3.0,32.0,0.0,0.0,0.0,01237
47.0,15.0,0.0,5.0,33.0,0.0,8.0,16.0,0.0,3.0,0.0,6.0,0.0,18.0,14.0,4.0,83.0,4.0,0.0,5.0,01238
54.0,11.0,0.0,10.0,16.0,9.0,13.0,24.0,0.0,0.0,0.0,7.0,0.0,21.0,20.0,7.0,42.0,0.0,0.0,7.0,01240
0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,01242
0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01245
50.0,14.0,0.0,6.0,26.0,0.0,16.0,44.0,0.0,10.0,0.0,14.0,0.0,32.0,17.0,13.0,51.0,10.0,0.0,7.0,01247
4.0,4.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01253
0.0,6.0,0.0,0.0,9.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,01254
3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,01255
7.0,9.0,0.0,4.0,24.0,4.0,3.0,0.0,0.0,0.0,0.0,12.0,0.0,18.0,5.0,0.0,20.0,4.0,0.0,0.0,01257
6.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,01258
0.0,6.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,01259
12.0,7.0,0.0,9.0,5.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,10.0,0.0,0.0,0.0,01262
8.0,7.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,6.0,0.0,0.0,0.0,01266
37.0,14.0,0.0,11.0,14.0,3.0,11.0,19.0,0.0,4.0,0.0,4.0,0.0,21.0,20.0,3.0,23.0,3.0,0.0,0.0,01267
0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,01270
56.0,28.0,0.0,11.0,28.0,9.0,27.0,95.0,0.0,12.0,4.0,27.0,0.0,58.0,45.0,19.0,98.0,7.0,0.0,22.0,01301
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,01302
6.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,01330
25.0,6.0,0.0,3.0,24.0,0.0,12.0,33.0,0.0,3.0,0.0,9.0,0.0,25.0,8.0,12.0,43.0,6.0,0.0,6.0,01331
