zip,property_value_avg
80126,601883
85033,224415
10026,835594
19958,403200
60090,234363
23111,275193
97080,416185
43147,288113
78217,192009
34983,236250
78413,219901
32304,103453
33016,211644
7105,447444
98584,310799
94608,809890
48227,39287
40220,225394
2139,881160
72712,283094
70122,218715
85120,255072
59701,153481
46224,149234
61201,95979
44512,132089
64133,152607
87144,236621
36330,149068
92025,616800
30102,255550
8360,163763
93534,296463
77338,180918
32547,245204
32127,273010
87505,423734
97222,415377
85302,276038
14612,172842
8012,224863
70056,210132
85210,270226
92395,290747
70117,166908
63114,97935
29466,480461
75081,307641
48310,248733
92069,632121
32506,155424
75075,342583
98374,441850
55369,317915
91320,778859
90029,1106914
4240,182983
1040,228251
30815,146664
30458,142516
85614,222502
11237,853234
62521,101638
97230,388474
94404,1557518
77060,151462
76262,427698
95928,400654
46203,122896
78154,244203
55330,312384
20785,286621
34110,391406
53154,279823
90065,918319
93313,289784
91606,749092
23231,220857
96753,760428
76180,245860
76119,149275
63304,280303
33155,436884
15206,236420
791,192612
92557,405276
90291,2164446
28607,308275
2920,301783
14225,155020
80228,530612
84107,393372
8857,394853
40515,258569
52240,208602
20110,377447
17403,167252
89523,475804
11102,638901
83401,273215
60644,200714
96826,440215
54313,275311
91423,1306409
33133,651662
29710,286460
2138,1002159
99206,326582
90501,775804
95404,699080
89012,385026
98908,333491
46835,174054
48917,186477
20743,280313
85138,262946
92243,253696
94116,1455688
28625,189526
78723,465271
94804,652706
77006,489919
70058,188591
33702,240795
31210,199531
53219,174346
8901,309356
28214,225406
33193,307949
93619,474374
44145,294961
10950,364065
98026,651029
84047,375858
6040,190352
94560,986729
95050,1308854
77009,346885
75060,219714
61832,57998
86442,209065
21014,358729
35630,97940
30338,523121
60409,118578
60031,255473
34653,161556
92084,641279
20707,341336
99352,377927
33014,292011
90723,495501
21208,276305
80204,484554
30294,198712
51503,211472
80247,256404
90292,1265320
98087,549871
33604,229792
98107,842831
91732,554102
90069,1193074
46112,246228
11103,778504
90262,506750
94551,817408
38002,308515
40272,151037
35226,325159
92308,289640
97305,312675
23831,268248
30701,151882
38018,220525
17112,240860
60302,447721
29209,150221
10013,2705829
60068,434385
11231,1341644
12020,278656
88240,179608
89149,361459
94582,1340159
40229,172592
63146,260191
71291,177272
95757,558632
48126,162973
76227,272736
37643,124782
19132,59351
84401,317268
33952,171280
8844,468173
95973,436341
11365,706171
62526,70124
44146,130501
90241,674023
20814,785585
92019,639217
30311,237015
73401,108091
83815,401482
27217,125929
58503,351375
77356,274864
53066,376528
50317,140579
89104,257673
48154,252851
85035,216441
33613,227020
48423,181286
78749,465792
92307,320795
90405,1942497
2909,242992
78610,301679
74014,206994
90740,967432
29063,185757
94578,731493
46260,239487
89032,278698
23060,322275
70601,132655
53188,272518
17404,157944
55407,289327
98502,436821
26508,249142
29650,267333
85379,313891
33147,267338
87401,147654
38118,90332
77065,218313
63119,293794
97128,372533
89030,211833
48035,166518
86004,406644
32209,74921
89506,343567
77471,196766
80221,393550
60074,285881
93030,582395
94044,1165347
83201,204904
73110,103868
75069,316256
98056,636308
90638,664412
90008,998498
77079,512985
48239,131705
32084,247204
37214,271460
30269,373400
