libname,address,city,zip,cnty,sq_feet,longitude,latitude
LAURA BUSH COMMUNITY LIBRARY,9411 BEE CAVES RD,AUSTIN,78733,TRAVIS,14229,-97.873,30.31625
GILLIAM MEMORIAL PUBLIC LIBRARY,205 E BELT LINE RD,WILMER,75172,DALLAS,2700,-96.6851,32.58914
GILBREATH MEMORIAL LIBRARY,916 N MAIN ST,WINNSBORO,75494,WOOD,6000,-95.2862,32.96588
HEWITT PUBLIC LIBRARY,200 PATRIOT CT,HEWITT,76643,MCLENNAN,26000,-97.2079,31.44399
LEONARD PUBLIC LIBRARY,102 S MAIN ST,LEONARD,75452,FANNIN,3330,-96.2474,33.38062
UNIVERSAL CITY PUBLIC LIBRARY,100 NORTHVIEW DR,UNIVERSAL CITY,78148,BEXAR,10178,-98.2971,29.54999
NANCY CAROL ROBERTS MEMORIAL LIBRARY,100 MARTIN LUTHER KING JR PKWY,BRENHAM,77833,WASHINGTON,14909,-96.3991,30.17039
BOOKER SCHOOL/PUBLIC LIBRARY,600 S MAIN ST,BOOKER,79005,LIPSCOMB,2193,-100.538,36.44959
ALVORD PUBLIC LIBRARY,106 FRANKLIN ST,ALVORD,76225,WISE,874,-97.6948,33.359
OLDHAM COUNTY PUBLIC LIBRARY,914 MAIN,VEGA,79092,OLDHAM,2640,-102.427,35.24715
SANGER PUBLIC LIBRARY,501 BOLIVAR ST,SANGER,76266,DENTON,5050,-97.1739,33.36223
CHARLOTTE PUBLIC LIBRARY,77 YULE ST,CHARLOTTE,78011,ATASCOSA,1000,-98.7063,28.86377
DRIPPING SPRINGS COMMUNITY LIBRARY,501 SPORTSPLEX DR,DRIPPING SPRINGS,78620,HAYS,9220,-98.0979,30.19649
BRIDGEPORT PUBLIC LIBRARY,2159 10TH ST,BRIDGEPORT,76426,WISE,8200,-97.7574,33.22269
FOARD COUNTY LIBRARY,110 E CALIFORNIA,CROWELL,79227,FOARD,4000,-99.7246,33.98266
AUBREY AREA LIBRARY,226 COUNTRYSIDE DR,AUBREY,76227,DENTON,14000,-96.9885,33.29574
WEST PUBLIC LIBRARY,209 TOKIO RD,WEST,76691,MCLENNAN,5040,-97.0954,31.79136
KRUM PUBLIC LIBRARY,815 E MCCART ST,KRUM,76249,DENTON,5381,-97.2294,33.25897
TEXLINE PUBLIC LIBRARY,517 S 2ND ST,TEXLINE,79087,DALLAM,250,-103.016,36.37272
MAMMEN FAMILY PUBLIC LIBRARY,131 BULVERDE CROSSING RD,BULVERDE,78163,COMAL,19500,-98.4227,29.793
COLDSPRING AREA PUBLIC LIBRARY INC,14221 HWY 150 W,COLDSPRING,77331,SAN JACINTO,3800,-95.1376,30.58064
KENDRICK MEMORIAL LIBRARY,301 W TATE ST,BROWNFIELD,79316,TERRY,7056,-102.277,33.17708
WHITEHOUSE COMMUNITY LIBRARY,107 BASCOM RD,WHITEHOUSE,75791,SMITH,5138,-95.2206,32.22681
FLOWER MOUND PUBLIC LIBRARY,3030 BROADMOOR LN,FLOWER MOUND,75022,DENTON,25000,-97.077,33.0332
GOLIAD COUNTY LIBRARY,320 S COMMERCIAL ST,GOLIAD,77963,GOLIAD,9000,-97.3926,28.6657
FOREST HILL PUBLIC LIBRARY,6962 FOREST HILL DR,FOREST HILL,76140,TARRANT,7700,-97.2699,32.65445
EVERMAN PUBLIC LIBRARY,100 N RACE ST,EVERMAN,76140,TARRANT,4500,-97.287,32.63114
SALADO PUBLIC LIBRARY DISTRICT,1151 N MAIN ST,SALADO,76571,BELL,7500,-97.5336,30.95678
LAKE WHITNEY LIBRARY,602 E JEFFERSON AVE,WHITNEY,76692,HILL,6300,-97.3149,31.9527
BROWNSVILLE PUBLIC LIBRARY,2600 CENTRAL BLVD,BROWNSVILLE,78520,CAMERON,46365,-97.5096,25.94019
SOUTHMOST BRANCH LIBRARY,4320 SOUTHMOST BLVD,BROWNSVILLE,78521,CAMERON,20000,-97.4498,25.89653
CITY OF WOLFFORTH LIBRARY,508 E HWY 62/82,WOLFFORTH,79382,LUBBOCK,6500,-101.999,33.51494
GUTHRIE CSD & KING COUNTY CONSOLIDATED LIBRARY,301 JAGUAR LN,GUTHRIE,79236,KING,1350,-100.324,33.62334
ALICIA SALINAS PUBLIC LIBRARY,401 E 3RD ST,ALICE,78332,JIM WELLS,12000,-98.0732,27.75316
ORANGE GROVE SCHOOL/PUBLIC LIBRARY,STATE HWY 359 & FM RD 624,ORANGE GROVE,78372,JIM WELLS,5234,-97.9861,27.96368
PREMONT PUBLIC LIBRARY,US 281 AND STATE HIGHWAY 716,PREMONT,78375,JIM WELLS,1500,-98.1221,27.36788
BROWNWOOD PUBLIC LIBRARY,600 CARNEGIE ST,BROWNWOOD,76801,BROWN,10000,-98.9813,31.71734
BROWNWOOD PUBLIC LIBRARY LOCAL HISTORY & GENEALOGY LIBRARY,213 S BROADWAY ST,BROWNWOOD,76801,BROWN,1550,-98.9802,31.72269
BRYAN+COLLEGE STATION PUBLIC LIBRARY SYSTEM,201 E 26TH ST,BRYAN,77803,BRAZOS,25500,-96.372,30.67356
LARRY J RINGER PUBLIC LIBRARY,1818 HARVEY MITCHELL PKWY S,COLLEGE STATION,77845,BRAZOS,16000,-96.3154,30.59038
CARNEGIE CENTER OF BRAZOS VALLEY HISTORY,111 S MAIN ST,BRYAN,77803,BRAZOS,6000,-96.3734,30.67319
CLARA B MOUNCE PUBLIC LIBRARY,201 E 26TH ST,BRYAN,77803,BRAZOS,25500,-96.372,30.67356
BUFFALO PUBLIC LIBRARY,1005 HILL ST,BUFFALO,75831,LEON,3000,-96.0797,31.45615
BURKBURNETT LIBRARY,215 E 4TH ST,BURKBURNETT,76354,WICHITA,5950,-98.5733,34.09822
BURLESON PUBLIC LIBRARY,248 SW JOHNSON AVE,BURLESON,76028,JOHNSON,17000,-97.329,32.53945
BURNET COUNTY LIBRARY SYSTEM,100 E WASHINGTON ST,BURNET,78611,BURNET,13031,-98.2273,30.75738
BERTRAM FREE LIBRARY,170 N GABRIEL ST,BERTRAM,78605,BURNET,8550,-98.0547,30.74334
MARBLE FALLS PUBLIC LIBRARY,101 MAIN ST,MARBLE FALLS,78654,BURNET,15200,-98.2783,30.57016
OAKALLA PUBLIC LIBRARY,28981 FM 963,OAKALLA,78608,BURNET,800,-97.9212,30.98333
HERMAN BROWN FREE LIBRARY,100 E WASHINGTON ST,BURNET,78611,BURNET,13013,-98.2273,30.75738
HARRIE P WOODSON MEMORIAL LIBRARY,704 W HWY 21,CALDWELL,77836,BURLESON,5200,-96.7012,30.53172
CAMERON PUBLIC LIBRARY,304 E 3RD ST,CAMERON,76520,MILAM,4000,-96.9744,30.85184
HEMPHILL COUNTY LIBRARY,500 MAIN ST,CANADIAN,79014,HEMPHILL,12700,-100.382,35.91284
ALLEN PUBLIC LIBRARY,300 N ALLEN DR,ALLEN,75013,COLLIN,53030,-96.6714,33.10517
VAN ZANDT COUNTY LIBRARY,317 FIRST MONDAY LN,CANTON,75103,VAN ZANDT,10000,-95.8724,32.56239
CANYON AREA LIBRARY,1501 3RD AVE,CANYON,79015,RANDALL,10500,-101.928,34.98095
TYE PRESTON MEMORIAL LIBRARY,16311 S ACCESS RD,CANYON LAKE,78133,COMAL,18000,-98.1885,29.86604
DIMMIT COUNTY PUBLIC LIBRARY,200 N 9TH ST,CARRIZO SPRINGS,78834,DIMMIT,4245,-99.8633,28.5237
CARROLLTON PUBLIC LIBRARY,1700 KELLER SPRINGS RD,CARROLLTON,75006,DALLAS,42000,-96.8939,32.97146
CARROLLTON PUBLIC LIBRARY @ HEBRON AND JOSEY,4220 N JOSEY LN,CARROLLTON,75010,DALLAS,37000,-96.8848,33.02624
SAMMY BROWN LIBRARY,319 S MARKET ST,CARTHAGE,75633,PANOLA,14200,-94.3403,32.14779
CASTROVILLE PUBLIC LIBRARY,802 LONDON ST,CASTROVILLE,78009,MEDINA,4040,-98.8801,29.35313
CEDAR PARK PUBLIC LIBRARY,550 DISCOVERY BLVD,CEDAR PARK,78613,WILLIAMSON,25500,-97.8235,30.5192
FANNIE BROWN BOOTH MEMORIAL LIBRARY,619 TENAHA ST,CENTER,75935,SHELBY,3362,-94.1871,31.80412
ALPINE PUBLIC LIBRARY,805 W AVE E,ALPINE,79830,BREWSTER,8832,-103.668,30.35639
CHICO PUBLIC LIBRARY INC,106 W JACKSBORO ST,CHICO,76431,WISE,3750,-97.7974,33.29469
CHILDRESS PUBLIC LIBRARY,117 AVE B NE,CHILDRESS,79201,CHILDRESS,3600,-100.206,34.42254
CISCO PUBLIC LIBRARY,600 AVE G,CISCO,76437,EASTLAND,2304,-98.9828,32.38785
BURTON MEMORIAL LIBRARY,217 S KEARNEY,CLARENDON,79226,DONLEY,5000,-100.888,34.93741
RED RIVER COUNTY PUBLIC LIBRARY,307 N WALNUT ST,CLARKSVILLE,75426,RED RIVER,5600,-95.0508,33.61247
CLEBURNE PUBLIC LIBRARY,302 W HENDERSON ST,CLEBURNE,76033,JOHNSON,14204,-97.3885,32.34718
AUSTIN MEMORIAL LIBRARY,220 S BONHAM AVE,CLEVELAND,77327,LIBERTY,13145,-95.087,30.34031
CLYDE PUBLIC LIBRARY,125 OAK ST,CLYDE,79510,CALLAHAN,7641,-99.4938,32.40652
COLEMAN PUBLIC LIBRARY,402 S COMMERCIAL AVE,COLEMAN,76834,COLEMAN,12500,-99.423,31.82804
MITCHELL COUNTY PUBLIC LIBRARY,340 OAK ST,COLORADO CITY,79512,MITCHELL,6890,-100.868,32.39021
NESBITT MEMORIAL LIBRARY,529 WASHINGTON ST,COLUMBUS,78934,COLORADO,9300,-96.5408,29.70427
COMANCHE PUBLIC LIBRARY,311 N AUSTIN ST,COMANCHE,76442,COMANCHE,4500,-98.6039,31.89975
COMFORT PUBLIC LIBRARY,701 HIGH ST,COMFORT,78013,KENDALL,9200,-98.9078,29.96703
COMMERCE PUBLIC LIBRARY,1210 PARK ST,COMMERCE,75428,HUNT,9300,-95.8981,33.25052
MONTGOMERY COUNTY MEMORIAL LIBRARY SYSTEM,104 I 45 N,CONROE,77301,MONTGOMERY,51900,-95.4688,30.30834
MALCOLM PURVIS LIBRARY-MAGNOLIA,510 MELTON ST,MAGNOLIA,77354,MONTGOMERY,7200,-95.7505,30.20992
RB TULLIS LIBRARY,21569 US HWY 59,NEW CANEY,77357,MONTGOMERY,29600,-95.2274,30.13319
SOUTH REGIONAL LIBRARY,2101 LAKE ROBBINS DR,THE WOODLANDS,77380,MONTGOMERY,30000,-95.4655,30.16245
CHARLES B STEWART-WEST BRANCH LIBRARY,202 BESSIE PRICE OWENS DR,MONTGOMERY,77356,MONTGOMERY,14560,-95.6914,30.39347
RF MEADOR BRANCH LIBRARY,709 W MONTGOMERY ST,WILLIS,77378,MONTGOMERY,8400,-95.4871,30.42217
GEORGE & CYNTHIA WOODS MITCHELL LIBRARY,8125 ASHLANE WAY,THE WOODLANDS,77382,MONTGOMERY,30116,-95.5618,30.1822
COPPERAS COVE PUBLIC LIBRARY,501 S MAIN ST,COPPERAS COVE,76522,CORYELL,19750,-97.9032,31.12095
CORPUS CHRISTI PUBLIC LIBRARIES,805 COMANCHE ST,CORPUS CHRISTI,78401,NUECES,50000,-97.3993,27.79318
JANET F HARTE PUBLIC LIBRARY,2629 WALDRON RD,CORPUS CHRISTI,78418,NUECES,13500,-97.2975,27.64411
BEN F MCDONALD PUBLIC LIBRARY,4044 GREENWOOD DR,CORPUS CHRISTI,78416,NUECES,13000,-97.4314,27.75896
OWEN R HOPKINS PUBLIC LIBRARY,3202 MCKINZIE RD,CORPUS CHRISTI,78410,NUECES,12771,-97.5731,27.84166
ANITA & WT NEYLAND PUBLIC LIBRARY,1230 CARMEL PKWY,CORPUS CHRISTI,78411,NUECES,17000,-97.3812,27.73038
DR CLOTILDE P GARCIA PUBLIC LIBRARY,5930 BROCKHAMPTON DR,CORPUS CHRISTI,78414,NUECES,12000,-97.3794,27.67036
MICKEY REILY PUBLIC LIBRARY,604 S MATHEWS ST,CORRIGAN,75939,POLK,5400,-94.8251,30.9904
AMARILLO PUBLIC LIBRARY,413 E 4TH AVE,AMARILLO,79101,POTTER,63262,-101.832,35.20918
EAST BRANCH LIBRARY,2232 E 27TH AVE,AMARILLO,79103,POTTER,10000,-101.81,35.18562
NORTH BRANCH LIBRARY,1504 NE 24TH AVE,AMARILLO,79107,POTTER,10000,-101.815,35.2364
SOUTHWEST BRANCH LIBRARY,6801 W 45TH AVE,AMARILLO,79109,POTTER,20000,-101.913,35.16163
NORTHWEST BRANCH LIBRARY,6100 SW 9TH AVE,AMARILLO,79106,POTTER,15536,-101.903,35.20602
CORSICANA PUBLIC LIBRARY,100 N 12TH ST,CORSICANA,75110,NAVARRO,17500,-96.4662,32.09292
ALEXANDER MEMORIAL LIBRARY,201 CENTER ST,COTULLA,78014,LA SALLE,5600,-99.2345,28.4359
ENCINAL LIBRARY,403 ENCINAL BLVD,ENCINAL,78019,LA SALLE,1000,-99.3582,28.04161
CRANE COUNTY LIBRARY,701 S ALFORD ST,CRANE,79731,CRANE,5226,-102.351,31.39633
JH WOOTTERS CROCKETT PUBLIC LIBRARY,709 E HOUSTON AVE,CROCKETT,75835,HOUSTON,14676,-95.4539,31.31845
CROSBY COUNTY LIBRARY,114 W ASPEN ST,CROSBYTON,79322,CROSBY,6230,-101.238,33.6589
LORENZO LIBRARY,409 VAN BUREN AVE,LORENZO,79343,CROSBY,1305,-101.536,33.67055
RALLS LIBRARY,813 MAIN,RALLS,79357,CROSBY,4000,-101.385,33.67937
CROSS PLAINS PUBLIC LIBRARY,149 N MAIN ST,CROSS PLAINS,76443,CALLAHAN,4248,-99.1654,32.1257
CUERO PUBLIC LIBRARY,207 E MAIN ST,CUERO,77954,DEWITT,7500,-97.29,29.08987
DAINGERFIELD PUBLIC LIBRARY,207 JEFFERSON ST,DAINGERFIELD,75638,MORRIS,2000,-94.721,33.03203
DALLAM-HARTLEY COUNTY LIBRARY,420 DENROCK AVE,DALHART,79022,DALLAM,3240,-102.523,36.06167
BLANCO COUNTY SOUTH LIBRARY DISTRICT,1118 MAIN ST,BLANCO,78606,BLANCO,8710,-98.4195,30.10419
JEFFERSON CARNEGIE LIBRARY,301 W LAFAYETTE ST,JEFFERSON,75657,MARION,2500,-94.3469,32.75613
NEWTON COUNTY PUBLIC LIBRARY,212 HIGH ST,NEWTON,75966,NEWTON,9180,-93.7597,30.84969
SCHULENBURG PUBLIC LIBRARY,310 SIMPSON ST,SCHULENBURG,78956,FAYETTE,8000,-96.9019,29.67796
MCGINLEY MEMORIAL PUBLIC LIBRARY,317 S MAIN ST,MCGREGOR,76657,MCLENNAN,3600,-97.4061,31.43948
RANGER CITY LIBRARY,718 PINE ST,RANGER,76470,EASTLAND,1260,-98.6893,32.47319
JUSTIN COMMUNITY LIBRARY,408 PAFFORD ST,JUSTIN,76247,DENTON,2328,-97.304,33.08864
FALLS CITY PUBLIC LIBRARY,206 N IRVIN ST,FALLS CITY,78113,KARNES,2250,-98.0189,28.9811
KARNES CITY PUBLIC LIBRARY,302 S PANNA MARIA AVE,KARNES CITY,78118,KARNES,4300,-97.9012,28.8816
RUNGE PUBLIC LIBRARY,311 N HELENA ST,RUNGE,78151,KARNES,3200,-97.7132,28.88481
ALLEN MEMORIAL PUBLIC LIBRARY,121 E BLACKBOURN ST,HAWKINS,75765,WOOD,5200,-95.2049,32.5883
LEANDER PUBLIC LIBRARY,1011 S BAGDAD RD,LEANDER,78641,WILLIAMSON,18000,-97.862,30.56088
ELGIN PUBLIC LIBRARY,404 N MAIN ST,ELGIN,78621,BASTROP,12738,-97.3716,30.35055
NEWARK PUBLIC LIBRARY,207 HUDSON ST,NEWARK,76071,WISE,1250,-97.4808,33.00185
ALVARADO PUBLIC LIBRARY,210 N BAUGH ST,ALVARADO,76009,JOHNSON,10000,-97.2089,32.40848
FORT HANCOCK ISD/PUBLIC LIBRARY,460 KNOX AVE,FORT HANCOCK,79839,HUDSPETH,3000,-105.851,31.29273
FORT HANCOCK ISD/PUBLIC LIBRARY,101 SCHOOL DR,FORT HANCOCK,79839,HUDSPETH,5000,-105.851,31.29117
NEW WAVERLY PUBLIC LIBRARY,9372 STATE HWY 75 S,NEW WAVERLY,77358,WALKER,10000,-95.485,30.53273
CROWLEY PUBLIC LIBRARY,409 S OAK ST,CROWLEY,76036,TARRANT,10000,-97.3662,32.57448
RIO GRANDE CITY PUBLIC LIBRARY,591 E CANALES BROS ST,RIO GRANDE CITY,78582,STARR,5106,-98.8204,26.38087
APHNE PATTILLO NIXON PUBLIC LIBRARY,401 N NIXON AVE,NIXON,78140,GONZALES,2092,-97.7654,29.27052
DICKENS COUNTY SPUR PUBLIC LIBRARY,415 E HILL ST,SPUR,79370,DICKENS,5000,-100.843,33.47028
MAUD PUBLIC LIBRARY,335 HOUSTON DR,MAUD,75567,BOWIE,2070,-94.3448,33.33015
POTTSBORO AREA PUBLIC LIBRARY,104 N MAIN ST,POTTSBORO,75076,GRAYSON,3600,-96.6684,33.75997
BRIDGE CITY PUBLIC LIBRARY,101 PARKSIDE DR,BRIDGE CITY,77611,ORANGE,5750,-93.8437,30.0344
MARION COMMUNITY LIBRARY,500 BULLDOG DR,MARION,78124,GUADALUPE,5186,-98.1408,29.56832
MB NOELKE JR MEMORIAL LIBRARY,101 S BROADWAY ST,MERTZON,76941,IRION,2421,-100.816,31.25673
STERLING COUNTY PUBLIC LIBRARY,301 MAIN,STERLING CITY,76951,STERLING,2156,-100.987,31.83559
CAMERON-J JARVIS TROUP MUNICIPAL LIBRARY,102 S GEORGIA ST,TROUP,75789,SMITH,7980,-95.1207,32.14444
REAL COUNTY PUBLIC LIBRARY LEAKEY,225 MAIN ST,LEAKEY,78873,REAL,3695,-99.7604,29.72641
TRI-COUNTY LIBRARY,132 E MARKET ST,MABANK,75147,KAUFMAN,5621,-96.1003,32.36621
CAPROCK PUBLIC LIBRARY,106 N 1ST ST,QUITAQUE,79255,BRISCOE,1575,-101.057,34.36631
CONVERSE PUBLIC LIBRARY,601 S SEGUIN RD,CONVERSE,78109,BEXAR,8200,-98.3109,29.51345
SPRINGLAKE-EARTH COMMUNITY LIBRARY,472 FM 302,SPRINGLAKE,79082,LAMB,5000,-102.357,34.2646
SMITH-WELCH MEMORIAL LIBRARY,105 W 5TH ST,HEARNE,77859,ROBERTSON,5000,-96.5961,30.88247
DUVAL COUNTY/SAN DIEGO PUBLIC LIBRARY,315 S DR E E DUNLAP ST,SAN DIEGO,78384,DUVAL,12000,-98.2395,27.76204
DUVAL COUNTY/FREER BRANCH LIBRARY,608 CAROLYN ST,FREER,78357,DUVAL,1081,-98.6158,27.88363
DUVAL COUNTY/BENAVIDES BRANCH LIBRARY,131 MESQUITE ST,BENAVIDES,78341,DUVAL,2500,-98.4139,27.59694
RHOME PUBLIC LIBRARY,265 W BC RHOME AVE,RHOME,76078,WISE,2000,-97.4747,33.05524
COCKRELL HILL PUBLIC LIBRARY,4125 W CLARENDON DR,DALLAS,75211,DALLAS,1015,-96.8878,32.73498
ELLEN BROOKS WEST MEMORIAL LIBRARY OF FORNEY,800 FM 741,FORNEY,75126,KAUFMAN,8900,-96.4575,32.72398
MARTIN COUNTY LIBRARY,200 N ST MARY,STANTON,79782,MARTIN,6600,-101.788,32.13078
MELISSA PUBLIC LIBRARY,3411 BARKER AVE,MELISSA,75454,COLLIN,3500,-96.5726,33.29298
EAST PARKER COUNTY LIBRARY,201 N FM 1187,ALEDO,76008,PARKER,3000,-97.6036,32.69744
KENNEDALE PUBLIC LIBRARY,316 W 3RD ST,KENNEDALE,76060,TARRANT,4000,-97.2258,32.64712
WAELDER PUBLIC LIBRARY,310 N AVE E,WAELDER,78959,GONZALES,1008,-97.298,29.69578
FRISCO PUBLIC LIBRARY,6101 FRISCO SQUARE BLVD STE 3000,FRISCO,75034,COLLIN,50000,-96.8348,33.15044
JR HUFFMAN PUBLIC LIBRARY,375 SABINE ST,HEMPHILL,75948,SABINE,3000,-93.845,31.34532
LILLIE RUSSELL MEMORIAL LIBRARY,200 E HUBBARD ST,LINDALE,75771,SMITH,10000,-95.4081,32.5159
UTOPIA MEMORIAL LIBRARY,800 MAIN ST,UTOPIA,78884,UVALDE,3800,-99.527,29.61798
SABINAL PUBLIC LIBRARY,311 N CENTER ST,SABINAL,78881,UVALDE,4978,-99.467,29.31972
SANTA ANNA LIBRARY,606 WALLIS AVE,SANTA ANNA,76878,COLEMAN,1900,-99.3222,31.74232
MCALLEN PUBLIC LIBRARY,4001 N 23RD ST,MCALLEN,78504,HIDALGO,123000,-98.2394,26.24073
LARK BRANCH LIBRARY,2601 LARK AVE,MCALLEN,78504,HIDALGO,11000,-98.2394,26.26212
PALM VIEW BRANCH LIBRARY,3401 JORDAN AVE,MCALLEN,78503,HIDALGO,11000,-98.2625,26.18633
ALLAN SHIVERS LIBRARY & MUSEUM,302 N CHARLTON ST,WOODVILLE,75979,TYLER,5502,-94.416,30.77737
JACKSONVILLE PUBLIC LIBRARY,502 S JACKSON ST,JACKSONVILLE,75766,CHEROKEE,15053,-95.2694,31.9617
MOUNT CALM PUBLIC LIBRARY,222 ALLYN AVE,MOUNT CALM,76673,HILL,2200,-96.8803,31.75739
RANKIN PUBLIC LIBRARY,310 E 10TH ST,RANKIN,79778,UPTON,1736,-101.936,31.22585
MIDKIFF PUBLIC LIBRARY,12701 N FM 2401,MIDKIFF,79755,UPTON,888,-101.836,31.62102
JOHN ED KEETER PUBLIC LIBRARY,355 W MCLEROY BLVD,SAGINAW,76179,TARRANT,11534,-97.3704,32.85847
WIMBERLEY VILLAGE LIBRARY,400 FM 2325,WIMBERLEY,78676,HAYS,8053,-98.1042,30.0022
PRESIDIO PUBLIC LIBRARY,1200 E OREILLY ST,PRESIDIO,79845,PRESIDIO,3347,-104.357,29.56071
FRANKSTON DEPOT LIBRARY,159 W RAILROAD AVE,FRANKSTON,75763,ANDERSON,1620,-95.5065,32.04972
JONESTOWN COMMUNITY LIBRARY,18649 FM 1431 STE 10A,JONESTOWN,78645,TRAVIS,3065,-97.9237,30.49247
JOE A HALL HIGH SCHOOL AND COMMUNITY LIBRARY,12 BULLDOG DR,VENUS,76084,JOHNSON,3072,-97.105,32.42532
SHINER PUBLIC LIBRARY,115 E WOLTERS 2ND ST,SHINER,77984,LAVACA,5560,-97.1643,29.42348
LUMBERTON PUBLIC LIBRARY,130 E CHANCE RD,LUMBERTON,77657,HARDIN,5000,-94.1983,30.26589
MINEOLA MEMORIAL LIBRARY,301 N PACIFIC ST,MINEOLA,75773,WOOD,6400,-95.4874,32.66573
MINEOLA MEMORIAL LIBRARY BOOKMOBILE,301 N PACIFIC ST,MINEOLA,75773,WOOD,-4,-95.4874,32.66573
CLINT ISD PUBLIC LIBRARY,12625 ALAMEDA AVE,EL PASO,79836,EL PASO,9617,-106.237,31.59235
VALLEY MILLS PUBLIC LIBRARY,405 5TH ST,VALLEY MILLS,76689,BOSQUE,1354,-97.4716,31.65771
BETTY FOSTER PUBLIC LIBRARY,405 SHAFFNER ST,PONDER,76259,DENTON,2115,-97.2888,33.18345
THE LIBRARY AT CEDAR CREEK LAKE,410 E CEDAR CREEK PKWY,SEVEN POINTS,75143,HENDERSON,6780,-96.2047,32.32326
CAMP WOOD PUBLIC LIBRARY,106 S NUECES ST,CAMP WOOD,78833,REAL,2473,-100.012,29.66931
MCMULLEN MEMORIAL LIBRARY,900 N MAIN ST,HUNTINGTON,75949,ANGELINA,2500,-94.5726,31.28514
DILLEY PUBLIC LIBRARY,116 E MILLER ST,DILLEY,78017,FRIO,3498,-99.17,28.66928
SAN JUAN MEMORIAL LIBRARY,1010 S STANDARD AVE,SAN JUAN,78589,HIDALGO,16565,-98.1595,26.18465
SHACKELFORD COUNTY LIBRARY,402 N 2ND ST,ALBANY,76430,SHACKELFORD,3390,-99.296,32.72749
LAGO VISTA PUBLIC LIBRARY,5803 THUNDERBIRD STE 40,LAGO VISTA,78645,TRAVIS,5142,-97.9879,30.4525
REEVES COUNTY LIBRARY,315 S OAK ST,PECOS,79772,REEVES,11500,-103.495,31.42533
JOSHUA SCHOOL & PUBLIC LIBRARY,907 S BROADWAY ST,JOSHUA,76058,JOHNSON,8000,-97.3842,32.45036
CRANDALL-COMBINE COMMUNITY LIBRARY,13385 FM 3039,CRANDALL,75114,KAUFMAN,6973,-96.4626,32.61788
GRANDVIEW PUBLIC LIBRARY,112 S 3RD ST,GRANDVIEW,76050,JOHNSON,2094,-97.1795,32.27006
DEPOT PUBLIC LIBRARY,120 E CHESTNUT ST,THROCKMORTON,76483,THROCKMORTON,1800,-99.1769,33.17862
MOODY COMMUNITY LIBRARY,612 AVE D,MOODY,76557,MCLENNAN,4800,-97.3614,31.30822
HIDALGO PUBLIC LIBRARY,710 E RAMON AYALA DR,HIDALGO,78557,HIDALGO,10497,-98.2539,26.10672
JENNIE TRENT DEW LIBRARY,1113 FISHER ST,GOLDTHWAITE,76844,MILLS,3100,-98.5693,31.45068
BULLARD COMMUNITY LIBRARY,211 W MAIN ST,BULLARD,75757,SMITH,3000,-95.3221,32.13894
BENBROOK PUBLIC LIBRARY,1065 MERCEDES ST,BENBROOK,76126,TARRANT,12000,-97.4511,32.67899
LA JOYA MUNICIPAL LIBRARY,201 PALM SHORES BLVD,LA JOYA,78560,HIDALGO,4400,-98.4791,26.2412
NAPLES PUBLIC LIBRARY,103 WALNUT ST,NAPLES,75568,MORRIS,1396,-94.6813,33.20359
D BROWN MEMORIAL LIBRARY,203 N 2ND ST,ROSEBUD,76570,FALLS,1500,-96.9763,31.07542
WELLS BRANCH COMMUNITY LIBRARY,15001 WELLS PORT DR,AUSTIN,78728,TRAVIS,16000,-97.676,30.44614
LAKEHILLS AREA LIBRARY,7200 FM 1283,LAKEHILLS,78063,BANDERA,6000,-98.9377,29.63495
NOONDAY COMMUNITY LIBRARY,16662 COUNTY ROAD 196,TYLER,75703,SMITH,1200,-95.4068,32.23814
LITTLE ELM PUBLIC LIBRARY,100 W ELDORADO PKWY,LITTLE ELM,75068,DENTON,9760,-96.9401,33.15886
NELLIE PEDERSON CIVIC LIBRARY,406 LIVE OAK ST,CLIFTON,76634,BOSQUE,2000,-97.5763,31.78519
LONE OAK AREA PUBLIC LIBRARY,102 JONES ST,LONE OAK,75453,HUNT,3200,-95.9415,32.99949
LOIS NELSON PUBLIC LIBRARY,323 MCKINNEY AVE,PRINCETON,75407,COLLIN,4000,-96.498,33.18103
MERIDIAN PUBLIC LIBRARY,118 N MAIN ST,MERIDIAN,76665,BOSQUE,2464,-97.6572,31.92343
CLAUD H GILMER MEMORIAL LIBRARY,206 N HWY 377,ROCKSPRINGS,78880,EDWARDS,5200,-100.205,30.01679
MEDINA COMMUNITY LIBRARY,13948 STATE HWY 16 N,MEDINA,78055,BANDERA,4300,-99.2489,29.79746
BJ HILL LIBRARY,402 W TRAVIS ST,HOLLAND,76534,BELL,2000,-97.4078,30.88027
MERKEL PUBLIC LIBRARY,100 KENT,MERKEL,79536,TAYLOR,300,-100.012,32.47077
SOUTHLAKE PUBLIC LIBRARY,1400 MAIN ST STE 130,SOUTHLAKE,76092,TARRANT,12175,-97.1308,32.94261
BISHOP BRANCH LIBRARY,115 S ASH AVE,BISHOP,78343,NUECES,1430,-97.8003,27.58401
NUECES COUNTY KEACH FAMILY LIBRARY,1000 TERRY SHAMSIE BLVD,ROBSTOWN,78380,NUECES,16000,-97.6527,27.79176
PROSPER COMMUNITY LIBRARY,200 S MAIN ST,PROSPER,75078,COLLIN,9627,-96.8031,33.23493
ROUND TOP FAMILY LIBRARY,206 W MILL ST,ROUND TOP,78954,FAYETTE,4350,-96.697,30.06589
