SizeRank,Zip,RegionType,StateName,State,City,Metro,CountyName,ZHVI_3mo
11413,77547,Zip,TX,TX,Galena Park,Houston-The Woodlands-Sugar Land,Harris County,140524
11414,75972,Zip,TX,TX,San Augustine,,San Augustine County,108473
11414,61270,Zip,IL,IL,Morrison,Sterling,Whiteside County,115725
11414,27823,Zip,NC,NC,Enfield,Roanoke Rapids,Halifax County,50648
11414,53050,Zip,WI,WI,Mayville,Beaver Dam,Dodge County,165633
11414,45217,Zip,OH,OH,Saint Bernard,Cincinnati,Hamilton County,146213
11419,73103,Zip,OK,OK,Oklahoma City,Oklahoma City,Oklahoma County,271222
11419,96791,Zip,HI,HI,Waialua,Urban Honolulu,Honolulu County,780639
11421,53042,Zip,WI,WI,Kiel,Manitowoc,Manitowoc County,182163
11422,46723,Zip,IN,IN,Churubusco,Fort Wayne,Whitley County,187158
11422,43968,Zip,OH,OH,Wellsville,Salem,Columbiana County,67713
11422,27571,Zip,NC,NC,Rolesville,Raleigh,Wake County,353626
11425,7462,Zip,NJ,NJ,Vernon Township,New York-Newark-Jersey City,Sussex County,194570
11426,1129,Zip,MA,MA,Springfield,Springfield,Hampden County,226613
11427,14489,Zip,NY,NY,Junius,Seneca Falls,Seneca County,93153
11428,57747,Zip,SD,SD,Hot Springs,,Fall River County,207691
11428,77665,Zip,TX,TX,Winnie,Houston-The Woodlands-Sugar Land,Chambers County,179780
11430,78052,Zip,TX,TX,Lytle,San Antonio-New Braunfels,Atascosa County,206670
11432,43912,Zip,OH,OH,Bridgeport,Wheeling,Belmont County,79708
11433,49802,Zip,MI,MI,Kingsford,Iron Mountain,Dickinson County,88894
11434,73717,Zip,OK,OK,Alva,,Woods County,90367
11435,27310,Zip,NC,NC,Oak Ridge,Greensboro-High Point,Guilford County,399072
11435,92356,Zip,CA,CA,Lucerne Valley,Riverside-San Bernardino-Ontario,San Bernardino County,209080
11437,54755,Zip,WI,WI,Mondovi,,Buffalo County,147569
11438,50126,Zip,IA,IA,Iowa Falls,,Hardin County,94249
11439,62260,Zip,IL,IL,Millstadt,St. Louis,Saint Clair County,196545
11439,81631,Zip,CO,CO,Eagle,Edwards,Eagle County,609379
11441,54136,Zip,WI,WI,Kimberly,Appleton,Outagamie County,172798
11441,45383,Zip,OH,OH,West Milton,Dayton,Miami County,152335
11443,28673,Zip,NC,NC,Sherrills Ford,Hickory-Lenoir-Morganton,Catawba County,422977
11444,33920,Zip,FL,FL,Alva,Cape Coral-Fort Myers,Lee County,267195
11444,11934,Zip,NY,NY,Center Moriches,New York-Newark-Jersey City,Suffolk County,465721
11447,35622,Zip,AL,AL,Falkville,Decatur,Morgan County,132797
11447,48872,Zip,MI,MI,Perry,Owosso,Shiawassee County,165126
11449,37146,Zip,TN,TN,Pleasant View,Nashville-Davidson--Murfreesboro--Franklin,Cheatham County,289479
11450,85935,Zip,AZ,AZ,Pinetop,Show Low,Navajo County,349882
11451,60022,Zip,IL,IL,Glencoe,Chicago-Naperville-Elgin,Cook County,1057828
11451,1238,Zip,MA,MA,Lee,Pittsfield,Berkshire County,279557
11453,18037,Zip,PA,PA,North Whitehall Township,Allentown-Bethlehem-Easton,Lehigh County,235711
11454,66227,Zip,KS,KS,Lenexa,Kansas City,Johnson County,389480
11454,46996,Zip,IN,IN,Winamac,,Pulaski County,111347
11454,27313,Zip,NC,NC,Pleasant Garden,Greensboro-High Point,Guilford County,215165
11454,28371,Zip,NC,NC,Parkton,Fayetteville,Cumberland County,150538
11454,95324,Zip,CA,CA,Hilmar,Merced,Merced County,353942
11459,1583,Zip,MA,MA,West Boylston,Worcester,Worcester County,347828
11459,84653,Zip,UT,UT,Salem,Provo-Orem,Utah County,485013
11459,30176,Zip,GA,GA,Tallapoosa,Atlanta-Sandy Springs-Roswell,Haralson County,127141
11462,7033,Zip,NJ,NJ,Kenilworth,New York-Newark-Jersey City,Union County,465392
11462,19301,Zip,PA,PA,Paoli,Philadelphia-Camden-Wilmington,Chester County,457632
11462,95666,Zip,CA,CA,Pioneer,,Amador County,290743
11462,56482,Zip,MN,MN,Wadena,,Wadena County,128094
11466,40360,Zip,KY,KY,Owingsville,Mount Sterling,Bath County,93288
11466,83801,Zip,ID,ID,Athol,Coeur d'Alene,Kootenai County,504967
11468,32618,Zip,FL,FL,Archer,Gainesville,Alachua County,206357
11468,49690,Zip,MI,MI,Williamsburg,Traverse City,Grand Traverse County,329398
11470,78355,Zip,TX,TX,Falfurrias,,Brooks County,63508
11470,37722,Zip,TN,TN,Cosby,Newport,Cocke County,147700
11472,28174,Zip,NC,NC,Wingate,Charlotte-Concord-Gastonia,Union County,198778
11473,31833,Zip,GA,GA,West Point,LaGrange,Troup County,108737
11473,43571,Zip,OH,OH,Whitehouse,Toledo,Lucas County,255854
11475,3908,Zip,ME,ME,South Berwick,Portland-South Portland,York County,349307
11475,14414,Zip,NY,NY,Town of Avon,Rochester,Livingston County,175185
11477,24422,Zip,VA,VA,Clifton Forge,,Alleghany County,86145
11478,87417,Zip,NM,NM,Kirtland,Farmington,San Juan County,128803
11478,28382,Zip,NC,NC,Roseboro,,Sampson County,102996
11480,11789,Zip,NY,NY,Sound Beach,New York-Newark-Jersey City,Suffolk County,345298
11480,5672,Zip,VT,VT,Stowe,,Lamoille County,508578
11480,14886,Zip,NY,NY,Ulysses,Ithaca,Tompkins County,216117
11480,26847,Zip,WV,WV,Petersburg,,Grant County,121552
11484,39218,Zip,MS,MS,Richland,Jackson,Rankin County,158449
11484,66025,Zip,KS,KS,Eudora,Lawrence,Douglas County,218287
11486,76661,Zip,TX,TX,Marlin,Waco,Falls County,57261
11487,17751,Zip,PA,PA,Lamar Township,Lock Haven,Clinton County,166027
11487,55070,Zip,MN,MN,Saint Francis,Minneapolis-St. Paul-Bloomington,Anoka County,269679
11487,1536,Zip,MA,MA,Grafton,Worcester,Worcester County,400236
11490,41311,Zip,KY,KY,Beattyville,,Lee County,64497
11491,85643,Zip,AZ,AZ,Willcox,Sierra Vista-Douglas,Cochise County,132331
11491,27258,Zip,NC,NC,Haw River,Burlington,Alamance County,197310
11491,98640,Zip,WA,WA,Ocean Park,,Pacific County,232114
11491,34637,Zip,FL,FL,Land O Lakes,Tampa-St. Petersburg-Clearwater,Pasco County,295177
11491,79745,Zip,TX,TX,Kermit,,Winkler County,77825
11496,53949,Zip,WI,WI,Montello,,Marquette County,143626
11497,43619,Zip,OH,OH,Northwood,Toledo,Wood County,143506
11497,70084,Zip,LA,LA,Reserve,New Orleans-Metairie,Saint John the Baptist Parish,96809
11497,37863,Zip,TN,TN,Pigeon Forge,Sevierville,Sevier County,276474
11500,39576,Zip,MS,MS,Waveland,Gulfport-Biloxi-Pascagoula,Hancock County,126057
11501,20634,Zip,MD,MD,Great Mills,California-Lexington Park,Saint Marys County,282471
11502,45304,Zip,OH,OH,Arcanum,Greenville,Darke County,147962
11503,49419,Zip,MI,MI,Hamilton,Holland,Allegan County,269140
11503,48054,Zip,MI,MI,East China,Detroit-Warren-Dearborn,Saint Clair County,255505
11503,80829,Zip,CO,CO,Manitou Springs,Colorado Springs,El Paso County,454247
11506,57718,Zip,SD,SD,Blackhawk,Rapid City,Meade County,240727
11507,15021,Zip,PA,PA,Hanover Township,Pittsburgh,Washington County,159279
11508,28339,Zip,NC,NC,Erwin,Dunn,Harnett County,124058
11508,11557,Zip,NY,NY,Hewlett,New York-Newark-Jersey City,Nassau County,735160
11508,70734,Zip,LA,LA,Geismar,Baton Rouge,Ascension Parish,286382
11508,27583,Zip,NC,NC,Timberlake,Durham-Chapel Hill,Person County,219833
11512,12428,Zip,NY,NY,Town Of Wawarsing,Kingston,Ulster County,178712
11512,78606,Zip,TX,TX,Blanco,,Blanco County,333057
11514,42437,Zip,KY,KY,Morganfield,,Union County,96926
11514,46106,Zip,IN,IN,Bargersville,Indianapolis-Carmel-Anderson,Johnson County,274561
11516,62088,Zip,IL,IL,Staunton,St. Louis,Macoupin County,106202
11517,55340,Zip,MN,MN,Medina,Minneapolis-St. Paul-Bloomington,Hennepin County,547868
11518,23009,Zip,VA,VA,Aylett,Richmond,King William County,219585
